"","x6","x5","x4","x3","x2","x1","y"
"62",6.1222,7.1186,7.7714,8.2863,8.7573,9.2146,9.6675
"63",6.1837,7.0778,7.6769,8.1545,8.5926,9.018,9.4394
"64",6.1572,7.1387,7.7843,8.2958,8.7642,9.219,9.6695
"65",6.1426,7.1432,7.8067,8.3346,8.8186,9.2888,9.7544
"66",6.2031,7.0923,7.6884,8.1635,8.5991,9.0221,9.441
"67",6.2006,7.1968,7.8437,8.3533,8.819,9.2708,9.7182
"68",6.1941,7.2234,7.8828,8.3981,8.8679,9.3236,9.7747
"69",6.1574,7.0922,7.717,8.2153,8.6723,9.1163,9.556
"70",6.1263,7.0928,7.7271,8.2276,8.6855,9.1301,9.5704
"71",6.2054,7.1681,7.7919,8.2814,8.7284,9.162,9.5912
"72",6.1245,7.0948,7.7417,8.257,8.7296,9.1887,9.6434
"73",6.1315,7.1782,7.8483,8.3704,8.8464,9.308,9.7651
"74",6.1273,7.1319,7.7857,8.2999,8.7701,9.2264,9.6783
"75",6.1188,7.1173,7.7697,8.2834,8.753,9.2088,9.6603
"76",6.2032,7.2531,7.9099,8.4154,8.8742,9.3186,9.7585
"77",6.1577,7.0843,7.7093,8.2103,8.6706,9.1179,9.561
"78",6.14,7.1031,7.7412,8.2482,8.7129,9.1643,9.6114
"79",6.1198,7.0693,7.6988,8.1978,8.6549,9.0988,9.5385
"80",6.163,7.2125,7.8747,8.3865,8.8519,9.3029,9.7493
"81",6.191,7.1015,7.7123,8.2002,8.6479,9.0827,9.5134
"82",6.2039,7.1688,7.795,8.2871,8.7366,9.1727,9.6044
"83",6.1435,7.1621,7.8201,8.3358,8.8067,9.2636,9.7161
"84",6.2063,7.2297,7.8723,8.3675,8.8171,9.2527,9.6838
"85",6.1716,7.1539,7.7923,8.2946,8.7537,9.1992,9.6404
"86",6.1194,7.1892,7.8796,8.4198,8.9127,9.3909,9.8645
"87",6.1809,7.1378,7.7735,8.2797,8.7439,9.1947,9.6412
"88",6.1636,7.1662,7.8157,8.3258,8.7916,9.2436,9.6911
"89",6.1433,7.0921,7.7228,8.2244,8.6842,9.1309,9.5733
"90",6.1917,7.0905,7.6862,8.1583,8.5905,9.01,9.4255
"91",6.2056,7.1047,7.7049,8.1828,8.6208,9.0461,9.4672
"92",6.1896,7.1593,7.801,8.3113,8.7789,9.233,9.6827
"93",6.1905,7.1331,7.7468,8.2292,8.6698,9.0974,9.5207
"94",6.1893,7.1688,7.7978,8.289,8.7369,9.1712,9.6013
"95",6.151,7.153,7.8085,8.3263,8.8002,9.2603,9.7159
"96",6.1834,7.1413,7.7649,8.2555,8.7039,9.139,9.5699
"97",6.1294,7.085,7.7106,8.2031,8.6532,9.09,9.5227
"98",6.1521,7.0655,7.6865,8.1859,8.6452,9.0916,9.5338
"99",6.132,7.1158,7.7544,8.2555,8.7133,9.1575,9.5975
"100",6.166,7.2065,7.8689,8.3842,8.8537,9.309,9.7598
"101",6.1671,7.1322,7.7666,8.2688,8.7287,9.1751,9.6173
"102",6.1402,7.1087,7.7358,8.2266,8.6745,9.1091,9.5395
"103",6.2034,7.1651,7.795,8.2928,8.7482,9.1902,9.6278
"104",6.1652,7.0952,7.7177,8.2144,8.6702,9.1128,9.5513
"105",6.1559,7.2018,7.8774,8.4078,8.8922,9.3623,9.8278
"106",6.134,7.1961,7.875,8.404,8.8862,9.3539,9.817
"107",6.1942,7.1756,7.8134,8.3156,8.7746,9.2199,9.6609
"108",6.1603,7.1251,7.7633,8.2699,8.734,9.1847,9.6311
"109",6.1439,7.1664,7.8278,8.3467,8.8205,9.2802,9.7354
"110",6.1776,7.122,7.7342,8.2137,8.6515,9.0762,9.4966
"111",6.1834,7.1246,7.7523,8.2529,8.7121,9.1581,9.5999
"112",6.1715,7.1211,7.7345,8.2139,8.6512,9.0753,9.4952
"113",6.1494,7.0718,7.6786,8.1575,8.5955,9.0208,9.4419
"114",6.1618,7.1415,7.7869,8.2988,8.7676,9.2228,9.6737
"115",6.1738,7.1559,7.7839,8.2727,8.7179,9.1496,9.5771
"116",6.1894,7.1656,7.7916,8.2798,8.7248,9.1563,9.5835
"117",6.1729,7.1928,7.8535,8.3729,8.8475,9.3079,9.764
"118",6.1814,7.1826,7.8309,8.3403,8.8056,9.2569,9.7039
"119",6.1908,7.232,7.8993,8.4212,8.8972,9.3588,9.8159
"120",6.1417,7.1363,7.7882,8.3034,8.7748,9.2326,9.6859
"121",6.1444,7.0982,7.7354,8.2436,8.7099,9.1629,9.6116
"122",6.1861,7.2041,7.849,8.3489,8.8037,9.2445,9.6809
"123",6.1486,7.135,7.7833,8.2963,8.7661,9.2223,9.6741
"124",6.1355,7.0994,7.735,8.2383,8.6993,9.1469,9.5903
"125",6.128,7.1583,7.8261,8.3502,8.8288,9.2933,9.7532
"126",6.1505,7.0741,7.6848,8.1683,8.611,9.0409,9.4666
"127",6.1772,7.0806,7.6888,8.1754,8.6222,9.0562,9.4861
"128",6.1593,7.1255,7.7608,8.2634,8.7236,9.1704,9.6129
"129",6.1531,7.1203,7.7632,8.2749,8.744,9.1998,9.6511
"130",6.1885,7.2405,7.9039,8.4175,8.8845,9.3372,9.7852
"131",6.1673,7.1609,7.8118,8.3265,8.7976,9.255,9.7079
"132",6.1459,7.0507,7.6647,8.1574,8.6102,9.0502,9.486
"133",6.1905,7.1403,7.757,8.2414,8.6839,9.1131,9.5381
"134",6.1556,7.0752,7.6875,8.1743,8.6206,9.054,9.4834
"135",6.1672,7.1001,7.7163,8.2045,8.6516,9.0857,9.5156
"136",6.1743,7.1421,7.7722,8.2684,8.7219,9.162,9.5978
"137",6.2041,7.2113,7.8546,8.356,8.8129,9.2558,9.6943
"138",6.1422,7.0908,7.7179,8.2149,8.6703,9.1124,9.5504
"139",6.1411,7.1416,7.783,8.2826,8.7379,9.1795,9.6167
"140",6.1748,7.1921,7.8418,8.3481,8.8096,9.2571,9.7001
"141",6.1315,7.0609,7.6802,8.1725,8.6238,9.0621,9.4964
"142",6.1356,7.0706,7.6991,8.2016,8.663,9.1114,9.5555
"143",6.1709,7.0938,7.717,8.2169,8.6762,9.1225,9.5646
"144",6.1738,7.1496,7.7907,8.2982,8.7629,9.2139,9.6607
"145",6.1364,7.0618,7.6926,8.2006,8.6678,9.1221,9.5721
"146",6.1551,7.1222,7.7472,8.236,8.6821,9.1148,9.5433
"147",6.1881,7.1121,7.7297,8.2223,8.6742,9.113,9.5477
"148",6.1339,7.1249,7.7674,8.2714,8.7317,9.1784,9.6208
"149",6.1994,7.1436,7.7642,8.2553,8.7047,9.1408,9.5728
"150",6.1895,7.2264,7.88,8.3853,8.8448,9.29,9.7307
"151",6.129,7.0485,7.6682,8.1638,8.6188,9.0609,9.4989
"152",6.1495,7.0606,7.677,8.1709,8.6246,9.0654,9.5022
"153",6.2079,7.142,7.7614,8.2534,8.704,9.1414,9.5746
"154",6.1556,7.0893,7.7036,8.189,8.6332,9.0644,9.4915
"155",6.1565,7.115,7.7485,8.251,8.7112,9.1581,9.6008
"156",6.1369,7.1635,7.8316,8.3577,8.8387,9.3055,9.7678
"157",6.1998,7.1341,7.7514,8.2408,8.689,9.124,9.5548
"158",6.1247,7.0743,7.7023,8.1993,8.6542,9.096,9.5335
"159",6.1219,7.205,7.892,8.4241,8.9081,9.3774,9.842
"160",6.1282,7.0687,7.6898,8.1809,8.6305,9.0671,9.4996
"161",6.1527,7.2089,7.8873,8.418,8.9022,9.3719,9.837
"162",6.1734,7.161,7.7996,8.3008,8.7585,9.2026,9.6423
"163",6.1985,7.238,7.896,8.4065,8.871,9.3213,9.767
"164",6.205,7.2052,7.848,8.3509,8.8097,9.2545,9.695
"165",6.141,7.1209,7.7625,8.2688,8.732,9.1817,9.6271
"166",6.1958,7.0992,7.7068,8.1928,8.6387,9.0719,9.5009
"167",6.1819,7.1441,7.7775,8.2796,8.7394,9.1858,9.6278
"168",6.1671,7.0795,7.6822,8.159,8.5955,9.0193,9.439
"169",6.2008,7.2302,7.8922,8.4112,8.8848,9.3442,9.799
"170",6.1533,7.0653,7.6829,8.1785,8.634,9.0766,9.5152
"171",6.1393,7.0656,7.6961,8.2036,8.6703,9.124,9.5735
"172",6.1185,7.0708,7.701,8.1997,8.6563,9.0997,9.5389
"173",6.1914,7.2326,7.8882,8.3948,8.8552,9.3014,9.7431
"174",6.1223,7.1565,7.8265,8.3522,8.8325,9.2985,9.76
"175",6.1605,7.2113,7.8907,8.4243,8.9116,9.3845,9.8528
"176",6.1512,7.1554,7.8037,8.3113,8.7748,9.2243,9.6695
"177",6.2058,7.1539,7.7721,8.259,8.704,9.1357,9.5632
"178",6.1268,7.0441,7.664,8.1603,8.6163,9.0594,9.4984
"179",6.138,7.1596,7.816,8.3282,8.7953,9.2484,9.697
"180",6.1601,7.0892,7.6965,8.174,8.6104,9.0339,9.4532
"181",6.1916,7.2382,7.9062,8.4274,8.9025,9.3632,9.8193
"182",6.1756,7.1961,7.864,8.3923,8.8759,9.3453,9.8102
"183",6.1429,7.0664,7.6758,8.1574,8.5982,9.0262,9.4501
"184",6.136,7.1169,7.7526,8.2508,8.7056,9.147,9.584
"185",6.15,7.1999,7.8701,8.3923,8.8683,9.3299,9.787
"186",6.1262,7.1744,7.8465,8.3709,8.8492,9.3131,9.7726
"187",6.1656,7.0883,7.699,8.1832,8.6267,9.0573,9.4839
"188",6.2009,7.1858,7.8162,8.3076,8.7555,9.1898,9.6197
"189",6.1182,7.1586,7.8265,8.3475,8.8225,9.2833,9.7395
"190",6.1799,7.154,7.7969,8.3074,8.7752,9.2294,9.6792
"191",6.1478,7.2026,7.8897,8.4318,8.9276,9.4089,9.8855
"192",6.124,7.1802,7.8692,8.4123,8.909,9.3911,9.8686
"193",6.1745,7.1174,7.7309,8.2127,8.6528,9.0799,9.5028
"194",6.2036,7.1495,7.7674,8.2544,8.6994,9.1313,9.5589
"195",6.1376,7.0805,7.7008,8.1904,8.6385,9.0734,9.5042
"196",6.1409,7.1494,7.7966,8.3012,8.7614,9.2077,9.6497
"197",6.1347,7.1035,7.7482,8.2615,8.7324,9.1897,9.6428
"198",6.2004,7.1666,7.7968,8.2938,8.7482,9.1891,9.6257
"199",6.1251,7.0869,7.7126,8.203,8.6508,9.0852,9.5155
"200",6.2038,7.1212,7.7383,8.2323,8.6857,9.1262,9.5624
"201",6.1433,7.1011,7.7285,8.2234,8.6762,9.1157,9.551
"202",6.1964,7.188,7.8302,8.3348,8.7957,9.2428,9.6855
"203",6.1364,7.088,7.7124,8.205,8.6555,9.0929,9.5261
"204",6.1364,7.0693,7.6795,8.1587,8.5965,9.0213,9.4421
"205",6.1713,7.1141,7.7383,8.2338,8.6878,9.1288,9.5655
"206",6.1335,7.1794,7.8475,8.3675,8.8414,9.3009,9.756
"207",6.1356,7.1445,7.8054,8.3276,8.8056,9.2697,9.7293
"208",6.1841,7.1606,7.788,8.2778,8.7245,9.1576,9.5865
"209",6.1351,7.1665,7.8326,8.3547,8.8315,9.2941,9.7523
"210",6.1569,7.1635,7.8116,8.3187,8.7815,9.2305,9.6751
"211",6.1962,7.1934,7.836,8.3394,8.7988,9.2444,9.6856
"212",6.1208,7.0833,7.7269,8.24,8.7108,9.1682,9.6213
"213",6.1637,7.1974,7.8698,8.3998,8.8843,9.3546,9.8203
"214",6.1902,7.1136,7.7251,8.2104,8.655,9.0866,9.514
"215",6.1351,7.1692,7.8303,8.3448,8.8137,9.2685,9.7188
"216",6.143,7.1341,7.7846,8.2989,8.7698,9.227,9.6798
"217",6.2041,7.1248,7.7371,8.2241,8.6704,9.1037,9.5328
"218",6.1988,7.2534,7.9153,8.4261,8.8902,9.3398,9.7848
"219",6.1645,7.1012,7.7199,8.2101,8.659,9.0949,9.5265
"220",6.1977,7.2333,7.8856,8.3899,8.8483,9.2924,9.732
"221",6.2017,7.2386,7.8954,8.4053,8.8693,9.3191,9.7643
"222",6.1768,7.2036,7.8594,8.3706,8.8365,9.2884,9.7358
"223",6.1249,7.1139,7.7554,8.2581,8.7171,9.1626,9.6037
"224",6.1884,7.0935,7.7025,8.1896,8.6368,9.0712,9.5015
"225",6.1535,7.1899,7.8615,8.3897,8.8725,9.341,9.8049
"226",6.1191,7.1624,7.8399,8.3724,8.8591,9.3314,9.7992
"227",6.2009,7.1734,7.8125,8.3186,8.7818,9.2314,9.6766
"228",6.1668,7.2005,7.8611,8.3763,8.8459,9.3013,9.7522
"229",6.1903,7.0973,7.6958,8.1688,8.6016,9.0216,9.4375
"230",6.1425,7.1192,7.7688,8.2861,8.7606,9.2216,9.6782
"231",6.1498,7.1671,7.8264,8.3446,8.8181,9.2776,9.7326
"232",6.1659,7.1292,7.7665,8.2727,8.7366,9.1871,9.6333
"233",6.1656,7.2133,7.8753,8.3878,8.854,9.3058,9.7532
"234",6.1792,7.1204,7.7503,8.2535,8.7154,9.164,9.6084
"235",6.1221,7.1585,7.8375,8.3737,8.8645,9.3409,9.8128
"236",6.1351,7.0882,7.7099,8.1982,8.6444,9.0773,9.5061
"237",6.142,7.1815,7.8445,8.3602,8.8301,9.2857,9.7369
"238",6.1314,7.1795,7.863,8.4021,8.8952,9.3739,9.848
"239",6.1255,7.0913,7.723,8.2202,8.6748,9.1161,9.5532
"240",6.1212,7.0952,7.7291,8.2265,8.6807,9.1216,9.5581
"241",6.1306,7.1836,7.8611,8.3907,8.8738,9.3425,9.8067
"242",6.1747,7.1646,7.805,8.3076,8.7665,9.2118,9.6527
"243",6.1919,7.2402,7.9187,8.4525,8.9402,9.4133,9.8818
"244",6.1426,7.1756,7.8477,8.3769,8.8607,9.3301,9.7951
"245",6.1326,7.1351,7.7843,8.2932,8.7579,9.2088,9.6554
"246",6.1369,7.1972,7.8875,8.4317,8.9294,9.4124,9.8908
"247",6.1422,7.1032,7.7334,8.2306,8.6855,9.1271,9.5645
"248",6.167,7.1646,7.8152,8.3282,8.7973,9.2527,9.7036
"249",6.1322,7.1181,7.7642,8.274,8.7404,9.1932,9.6417
"250",6.1208,7.1877,7.8846,8.4344,8.9372,9.4253,9.9087
"251",6.1471,7.0544,7.659,8.1393,8.5795,9.0071,9.4306
"252",6.144,7.151,7.798,8.3031,8.7638,9.2106,9.6531
"253",6.2085,7.2257,7.8812,8.3955,8.8649,9.3201,9.7709
"254",6.1687,7.1003,7.7154,8.2024,8.6482,9.081,9.5097
"255",6.1882,7.1855,7.834,8.3448,8.8115,9.2644,9.7129
"256",6.1865,7.2262,7.8942,8.4173,8.8946,9.3576,9.816
"257",6.1922,7.1348,7.7534,8.2423,8.6895,9.1237,9.5536
"258",6.1443,7.1153,7.7452,8.2392,8.6903,9.1281,9.5617
"259",6.1237,7.0743,7.7092,8.2147,8.6784,9.1287,9.5748
"260",6.1685,7.1283,7.7573,8.254,8.7084,9.1495,9.5864
"261",6.1813,7.1689,7.8058,8.3047,8.7602,9.202,9.6395
"262",6.1301,7.1987,7.8816,8.4131,8.8973,9.3669,9.8318
"263",6.198,7.0889,7.6745,8.1356,8.557,8.9658,9.3706
"264",6.1237,7.09,7.7391,8.2583,8.7352,9.1987,9.6578
"265",6.1534,7.0642,7.6724,8.1562,8.5998,9.0306,9.4573
"266",6.1968,7.2327,7.8864,8.3923,8.8524,9.2983,9.7396
"267",6.1969,7.0928,7.6868,8.1574,8.5881,9.0063,9.4204
"268",6.1642,7.062,7.6631,8.1418,8.5808,9.007,9.4292
"269",6.1177,7.1416,7.8098,8.3358,8.8167,9.2834,9.7457
"270",6.1841,7.1269,7.7484,8.2409,8.6918,9.1296,9.5632
"271",6.1658,7.0972,7.7148,8.2051,8.6543,9.0905,9.5226
"272",6.1529,7.1364,7.7703,8.2658,8.718,9.1566,9.5909
"273",6.1371,7.1407,7.7998,8.321,8.7979,9.261,9.7196
"274",6.1709,7.1498,7.7827,8.2788,8.7316,9.1709,9.6059
"275",6.1882,7.193,7.8478,8.3645,8.8371,9.2958,9.75
"276",6.1328,7.1993,7.8906,8.4337,8.9299,9.4114,9.8882
"277",6.1219,7.1962,7.8823,8.4159,8.902,9.3733,9.84
"278",6.1391,7.1733,7.8353,8.3511,8.8212,9.2772,9.7287
"279",6.1429,7.1108,7.7427,8.2401,8.695,9.1365,9.5737
"280",6.1883,7.1031,7.7151,8.2033,8.651,9.0857,9.5163
"281",6.2005,7.2431,7.9084,8.4276,8.9008,9.3596,9.8138
"282",6.187,7.2279,7.8805,8.383,8.8393,9.2813,9.7188
"283",6.1517,7.1662,7.8148,8.3199,8.7801,9.2265,9.6684
"284",6.1749,7.1437,7.7867,8.2988,8.7684,9.2244,9.6761
"285",6.148,7.1607,7.8119,8.321,8.7856,9.2364,9.6827
"286",6.1582,7.0513,7.6583,8.1458,8.5939,9.0294,9.4608
"287",6.1577,7.1954,7.8571,8.3719,8.8409,9.2957,9.7459
"288",6.1222,7.0818,7.7162,8.2184,8.6781,9.1245,9.5667
"289",6.1712,7.2007,7.8629,8.3813,8.8544,9.3132,9.7675
"290",6.1437,7.139,7.7903,8.3044,8.7747,9.2313,9.6834
"291",6.1304,7.1079,7.7627,8.286,8.7664,9.2332,9.6957
"292",6.1542,7.1177,7.7494,8.2483,8.7049,9.1481,9.5871
"293",6.1362,7.123,7.7744,8.291,8.7643,9.2239,9.6792
"294",6.1208,7.0613,7.6951,8.2022,8.6679,9.1205,9.5689
"295",6.1221,7.145,7.8189,8.3532,8.8427,9.318,9.7888
"296",6.1805,7.1186,7.7408,8.2354,8.6888,9.129,9.565
"297",6.1491,7.2079,7.8824,8.407,8.8849,9.3483,9.8071
"298",6.1637,7.102,7.7313,8.2344,8.6964,9.1451,9.5897
"299",6.1784,7.2032,7.8664,8.3875,8.8636,9.3255,9.7828
"300",6.1942,7.1782,7.8206,8.3277,8.7915,9.2415,9.6871
"301",6.1577,7.0763,7.6858,8.1694,8.6124,9.0427,9.4688
"302",6.1607,7.2049,7.8806,8.4113,8.8961,9.3664,9.8322
"303",6.1881,7.1377,7.7619,8.2557,8.7076,9.1463,9.5807
"304",6.1706,7.0995,7.7052,8.1809,8.6155,9.0371,9.4546
"305",6.1978,7.1392,7.7482,8.2248,8.6595,9.0811,9.4985
"306",6.169,7.1926,7.8495,8.3631,8.8317,9.2862,9.7363
"307",6.1761,7.1862,7.8329,8.3375,8.7976,9.2439,9.6857
"308",6.1279,7.0561,7.6782,8.1744,8.6298,9.0723,9.5106
"309",6.2054,7.1298,7.7453,8.2353,8.6844,9.1205,9.5524
"310",6.1532,7.0742,7.6786,8.1547,8.59,9.0124,9.4308
"311",6.1796,7.2075,7.8751,8.4011,8.882,9.3487,9.8108
"312",6.1375,7.1157,7.7467,8.2395,8.6889,9.1248,9.5565
"313",6.1221,7.1526,7.8204,8.3442,8.8224,9.2865,9.746
"314",6.1189,7.0632,7.6895,8.1857,8.6403,9.0816,9.5188
"315",6.1605,7.1716,7.8306,8.3503,8.8255,9.2868,9.7436
"316",6.157,7.1716,7.8198,8.3245,8.7844,9.2303,9.6719
"317",6.1609,7.0877,7.7096,8.2065,8.6628,9.106,9.5451
"318",6.1443,7.2133,7.9027,8.4433,8.9371,9.4161,9.8905
"319",6.1749,7.069,7.661,8.1292,8.5576,8.9734,9.3852
"320",6.1313,7.0996,7.7421,8.2523,8.72,9.1741,9.6239
"321",6.122,7.08,7.7164,8.2219,8.6852,9.1352,9.5809
"322",6.2074,7.1491,7.7661,8.2532,8.6987,9.131,9.5591
"323",6.168,7.0804,7.6911,8.1779,8.6245,9.0582,9.4878
"324",6.1696,7.0751,7.6872,8.1779,8.6286,9.0665,9.5003
"325",6.1443,7.1124,7.7432,8.2393,8.6928,9.133,9.5689
"326",6.166,7.0642,7.6705,8.1558,8.6015,9.0344,9.4633
"327",6.1583,7.1408,7.7893,8.3039,8.7752,9.233,9.6863
"328",6.1175,7.1358,7.796,8.3135,8.7859,9.2444,9.6983
"329",6.1812,7.0801,7.6858,8.1703,8.6151,9.0471,9.475
"330",6.1523,7.1847,7.8581,8.3895,8.8756,9.3474,9.8146
"331",6.1639,7.0742,7.689,8.1818,8.6345,9.0743,9.51
"332",6.1271,7.0912,7.7339,8.2457,8.7153,9.1714,9.6233
"333",6.1972,7.2005,7.8511,8.363,8.8307,9.2845,9.7339
"334",6.177,7.0934,7.6971,8.1739,8.6101,9.0335,9.4527
"335",6.1574,7.0775,7.6908,8.1786,8.6259,9.0603,9.4905
"336",6.1519,7.1381,7.7879,8.303,8.7749,9.2332,9.687
"337",6.1248,7.1972,7.8887,8.43,8.9241,9.4034,9.878
"338",6.1642,7.2006,7.8737,8.4039,8.8886,9.3589,9.8247
"339",6.1763,7.1809,7.8293,8.3378,8.8022,9.2527,9.6988
"340",6.1535,7.1512,7.7978,8.3054,8.7692,9.2192,9.6649
"341",6.156,7.0568,7.664,8.1495,8.5952,9.0283,9.4573
"342",6.1661,7.2069,7.8632,8.3701,8.8308,9.2774,9.7194
"343",6.2029,7.2099,7.8546,8.3581,8.8171,9.2622,9.7028
"344",6.2096,7.2505,7.9046,8.4097,8.8685,9.3131,9.7531
"345",6.1453,7.0491,7.6544,8.1364,8.5785,9.0078,9.4331
"346",6.1179,7.1169,7.7684,8.2809,8.7493,9.2039,9.6542
"347",6.1647,7.2072,7.8843,8.4176,8.9052,9.3783,9.8469
"348",6.2028,7.1179,7.7214,8.1989,8.6359,9.0599,9.4799
"349",6.1469,7.059,7.6749,8.168,8.6209,9.061,9.4969
"350",6.1898,7.0954,7.7011,8.1839,8.6268,9.0569,9.4829
"351",6.1572,7.0815,7.6959,8.184,8.6314,9.0659,9.4963
"352",6.188,7.1624,7.8055,8.3163,8.7841,9.2383,9.6882
"353",6.1466,7.0939,7.716,8.207,8.6563,9.0925,9.5245
"354",6.1562,7.191,7.8581,8.3809,8.8582,9.3213,9.7799
"355",6.1415,7.0689,7.6924,8.1907,8.6483,9.0929,9.5333
"356",6.1717,7.1602,7.8082,8.3209,8.7902,9.2458,9.697
"357",6.1382,7.0875,7.7259,8.2368,8.706,9.162,9.6137
"358",6.1327,7.1884,7.8644,8.3914,8.8719,9.3379,9.7993
"359",6.1499,7.2119,7.887,8.4116,8.8894,9.3527,9.8114
"360",6.1318,7.0744,7.6969,8.1897,8.641,9.0793,9.5133
"361",6.143,7.1734,7.8411,8.3658,8.8453,9.3106,9.7714
"362",6.1954,7.1517,7.7667,8.2468,8.6845,9.1089,9.529
"363",6.2068,7.2648,7.9356,8.4571,8.9317,9.3918,9.8473
"364",6.1297,7.1123,7.7643,8.2825,8.7576,9.219,9.6761
"365",6.1974,7.2261,7.8805,8.3895,8.8529,9.3022,9.7469
"366",6.1944,7.2419,7.9137,8.4392,8.9186,9.3835,9.8439
"367",6.1282,7.0416,7.6518,8.1367,8.5812,9.0128,9.4404
"368",6.1824,7.1572,7.7961,8.3014,8.7639,9.2128,9.6574
"369",6.137,7.1022,7.7423,8.2512,8.7177,9.1708,9.6196
"370",6.1886,7.139,7.7569,8.2423,8.6857,9.1159,9.5418
"371",6.1214,7.1212,7.7819,8.3059,8.7859,9.252,9.7137
"372",6.1548,7.1056,7.7297,8.2226,8.6737,9.1115,9.5452
"373",6.183,7.0934,7.6964,8.1744,8.6121,9.037,9.4578
